Settlement,Main_Dmg,X,Y
Ait Othmane,Possible damage,-8.40655,31.16093
Ait Othmane,Damage,-8.40728,31.15985
Ait Othmane,Damage,-8.40648,31.16065
Ait Othmane,Damage,-8.40631,31.16064
Ait Othmane,Possible damage,-8.40649,31.16052
Ait Othmane,Damage,-8.40619,31.16064
Ait Othmane,Possible damage,-8.40669,31.15925
Ait Othmane,Damage,-8.39845,31.15948
Ait Othmane,Damage,-8.39834,31.15948
Ait Othmane,Damage,-8.39832,31.15955
Ait Othmane,Damage,-8.39356,31.15876
Ait Othmane,Damage,-8.39236,31.15854
Ait Othmane,Damage,-8.39217,31.15804
Ait Othmane,Damage,-8.39204,31.15795
Ait Othmane,Damage,-8.3915,31.15796
Ait Othmane,Damage,-8.39107,31.15725
Ait Othmane,Possible damage,-8.39108,31.15748
Ait Othmane,Possible damage,-8.39115,31.15774
Ait Othmane,Possible damage,-8.3916,31.15742
Ait Othmane,Damage,-8.39322,31.15531
Ait Othmane,Damage,-8.39267,31.15563
Ait Othmane,Damage,-8.39349,31.15512
Ait Othmane,Damage,-8.39347,31.15524
Ait Othmane,Damage,-8.39252,31.15511
Ait Othmane,Damage,-8.39243,31.15511
Ait Othmane,Damage,-8.39248,31.155
Ait Othmane,Damage,-8.39321,31.15515
Ait Othmane,Damage,-8.3933,31.15501
Ait Othmane,Damage,-8.39336,31.15488
Ait Othmane,Damage,-8.39383,31.15501
Ait Othmane,Damage,-8.39377,31.15486
Ait Othmane,Damage,-8.39364,31.15484
Ait Othmane,Damage,-8.39365,31.15468
Ait Othmane,Damage,-8.39359,31.15457
Ait Othmane,Damage,-8.39347,31.15462
Ait Othmane,Damage,-8.39324,31.15448
Ait Othmane,Damage,-8.39325,31.15439
Ait Othmane,Damage,-8.3931,31.15527
Ait Othmane,Damage,-8.39303,31.15523
Ait Othmane,Damage,-8.39287,31.15519
Ait Othmane,Damage,-8.39296,31.15504
Ait Othmane,Damage,-8.39306,31.15507
Ait Othmane,Damage,-8.39309,31.15501
Ait Othmane,Damage,-8.3931,31.15479
Ait Othmane,Damage,-8.39314,31.15471
Ait Othmane,Damage,-8.39264,31.15472
Ait Othmane,Damage,-8.39377,31.15463
Ait Othmane,Damage,-8.39339,31.15506
Ait Othmane,Damage,-8.39342,31.15499
Ait Othmane,Damage,-8.39354,31.15498
Ait Othmane,Damage,-8.39341,31.15474
Ait Othmane,Damage,-8.39334,31.15475
Ait Othmane,Damage,-8.39339,31.15464
Ait Othmane,Damage,-8.39324,31.15465
Ait Othmane,Damage,-8.393,31.15472
Ait Othmane,Damage,-8.39283,31.15479
Ait Othmane,Damage,-8.39275,31.15469
Ait Othmane,Damage,-8.39289,31.1547
Ait Othmane,Damage,-8.39292,31.15462
Ait Othmane,Damage,-8.39254,31.15473
Ait Othmane,Damage,-8.39237,31.15485
Ait Othmane,Damage,-8.39223,31.15502
Ait Othmane,Damage,-8.39201,31.15497
Ait Othmane,Damage,-8.39223,31.15486
Ait Othmane,Damage,-8.39273,31.15514
Ait Othmane,Possible damage,-8.39378,31.15527
Ait Othmane,Possible damage,-8.39342,31.15537
Ait Othmane,Damage,-8.3932,31.15486
Ait Othmane,Damage,-8.39299,31.15485
Ait Othmane,Damage,-8.39276,31.15496
Ait Othmane,Possible damage,-8.39233,31.1552
Ait Othmane,Damage,-8.39251,31.1549
Ait Othmane,Damage,-8.39241,31.15501
Ait Othmane,Damage,-8.39349,31.15485
Ait Othmane,Damage,-8.39299,31.155
Ait Othmane,Damage,-8.39266,31.1551
Ait Othmane,Damage,-8.39256,31.15526
Ait Othmane,Damage,-8.39399,31.15414
Ait Othmane,Damage,-8.39388,31.15367
Ait Othmane,Damage,-8.39237,31.15381
Ait Othmane,Possible damage,-8.39207,31.15362
Ait Othmane,Damage,-8.3928,31.15331
